Name,Telephone,Address,Postcode,Grid Reference
Airedale General Hospital,01535 652511,"Skipton Road, Steeton, Keighley, West Yorkshire",BD20 6TD,SE0254944650
Barnsley Hospital,01226 730000,"Pogmoor Road, Barnsley, Yorkshire",S75 2EP,SE3324706971
Bradford Royal Infirmary,01274 542200,"Duckworth Lane, Bradford, West Yorkshire",BD9 6RJ,SE1360634418
Calderdale Royal Hospital,01422 357171,"Salterhebble, Halifax, West Yorkshire",HX3 0PW,SE0951923218
Chesterfield Royal Hospital,01246 277271,"Calow, Top Road, Chesterfield, Derbyshire",S44 5BL,SK4013971189
Darlington Memorial Hospital,01325 380100,"Hollyhurst Road, Darlington, County Durham",DL3 6HX,NZ2826915251
Dewsbury and District Hospital,0844 8118110,"Halifax Road, Dewsbury, West Yorkshire",WF13 4HS,SE2313622833
"Diana, Princess Of Wales Hospital",01472 874111,"Scartho Road, Grimsby, Lincolnshire",DN33 2BA,TA2624407044
Doncaster Royal Infirmary,01302 366666,"Thorne Road, Doncaster, Yorkshire",DN2 5LT,SE5914104156
Fairfield General Hospital,0161 764 6081,"Rochdale Old Road, Bury, Lancashire",BL9 7TD,SD8320011579
Friarage Hospital,01609 779911,"Northallerton, North Yorkshire",DL6 1JG,SE3713094269
Harrogate District Hospital,01423 885959,"Lancaster Park Road, Harrogate, North Yorkshire",HG2 7SX,SE3169155326
Huddersfield Royal Infirmary,01484 342000,"Acre Street, Huddersfield, West Yorkshire",HD3 3EA,SE1223617681
Hull Royal Infirmary,01482 875875,"Anlaby Road, Hull",HU3 2JZ,TA0836928810
The James Cook University Hospital,01642 850850,"Marton Road, Middlesbrough, Cleveland",TS4 3BW,NZ5088517673
Leeds General Infirmary,0113 243 2799,"Great George Street, Leeds, West Yorkshire",LS1 3EX,SE2962133998
Northern General Hospital,0114 243 4343,"Herries Road, Sheffield, South Yorkshire",S5 7AU,SK3637291970
Pinderfields Hospital,0844 8118110,"Aberford Road, Wakefield, West Yorkshire",WF1 4DG,SE3388122051
Pontefract Hospital,0844 8118110,"Friarwood Lane, Pontefract, West Yorkshire",WF8 1PL,SE4569021698
Rotherham Hospital,01709 82 0000,"Moorgate Road, Rotherham",S60 2UD,SK4379591046
Royal Lancaster Infirmary,01524 65944,"Ashton Road, Lancaster, Lancashire",LA1 4RP,SD4777561064
Scarborough Hospital,01723 368111,"Woodlands Drive, Scarborough",YO12 6QL,TA0200788471
Scunthorpe General Hospital,01724 282282,"Cliff Gardens, Scunthorpe, North Lincolnshire",DN15 7BH,SE8834110921
St James's Hospital,0113 243 3144,"Beckett Street, Leeds, West Yorkshire",LS9 7TF,SE3176834663
The York Hospital,01904 631 313,"Wigginton Road, York, North Yorkshire",YO31 8HE,SE6020853108
